Exchange,Symbol,Price,+2% Depth,-2% Depth,Volume,Volume %,Confidence,Liquidity,Updated,Base,Quote
Gate.io,BNB/USDT,441.36,861835.04,740864.17,55831859.0,2.79,High,474.0,Recently,BNB,USDT
Binance.US,BNB/USD,441.91,822900.21,595031.99,40588042.0,2.03,High,585.0,Recently,BNB,USD
FTX,BNB/USDT,441.4,3782334.89,1785250.88,37858383.0,1.89,High,554.0,Recently,BNB,USDT
KuCoin,BNB/USDT,441.48,1959548.06,976142.66,27792419.0,1.39,High,543.0,Recently,BNB,USDT
Binance,BNB/ETH,441.22,304275.34,1220673.36,24842647.0,1.24,High,714.0,Recently,BNB,ETH
Binance,DOT/BNB,441.15,182655.6,256503.21,16764850.0,0.84,High,807.0,Recently,DOT,BNB
Binance,LUNA/BNB,441.63,143697.08,221881.26,13126783.0,0.66,High,746.0,Recently,LUNA,BNB
Binance,FTM/BNB,441.15,121712.97,125789.21,12010919.0,0.6,High,949.0,Recently,FTM,BNB
Binance,BNB/EUR,436.4,277318.98,211319.02,11803600.0,0.59,High,935.0,Recently,BNB,EUR
Binance,CAKE/BNB,441.63,127883.89,551697.11,9011372.0,0.45,High,789.0,Recently,CAKE,BNB
Binance,SOL/BNB,441.15,330899.29,399036.14,7655414.0,0.38,High,505.0,Recently,SOL,BNB
Binance,ADA/BNB,441.15,252968.69,339975.63,7100288.0,0.35,High,862.0,Recently,ADA,BNB
Binance.US,BNB/USDT,441.52,856589.33,368994.24,7011140.0,0.35,High,738.0,Recently,BNB,USDT
Binance,BNB/TRY,441.27,348171.32,147408.11,6175884.0,0.31,High,620.0,Recently,BNB,TRY
Binance,TROY/BNB,441.15,8896.11,51861.91,4733708.0,0.24,High,596.0,Recently,TROY,BNB
Binance,BURGER/BNB,441.15,18269.76,23580.0,4606547.0,0.23,High,603.0,Recently,BURGER,BNB
Binance,AXS/BNB,441.15,190677.02,220899.3,4402383.0,0.22,High,517.0,Recently,AXS,BNB
Binance,XRP/BNB,441.63,134721.88,454889.21,4189801.0,0.21,High,539.0,Recently,XRP,BNB
Binance,BAKE/BNB,441.15,78462.08,112363.06,3938243.0,0.2,High,517.0,Recently,BAKE,BNB
Binance,BNB/BRL,443.06,191772.41,72100.03,3718957.0,0.19,High,522.0,Recently,BNB,BRL
Bithumb,BNB/KRW,451.28,243830.9,29683.91,3547118.0,0.18,High,186.0,Recently,BNB,KRW
Binance,BNB/USDC,441.49,326603.1,589738.65,3185121.0,0.16,High,518.0,Recently,BNB,USDC
Binance.US,BNB/BTC,441.16,462485.02,302014.67,3146877.0,0.16,High,719.0,Recently,BNB,BTC
Binance,VET/BNB,441.63,109494.48,168100.43,3135708.0,0.16,High,671.0,Recently,VET,BNB
Binance,INJ/BNB,441.15,53526.08,82260.31,3033625.0,0.15,High,657.0,Recently,INJ,BNB
Binance,UNI/BNB,441.15,125464.05,138905.3,3023294.0,0.15,High,885.0,Recently,UNI,BNB
Binance,FTT/BNB,441.15,504883.75,316934.37,2626165.0,0.13,High,578.0,Recently,FTT,BNB
Binance,FIL/BNB,441.15,157866.27,241504.94,2508061.0,0.13,High,945.0,Recently,FIL,BNB
Binance,DYDX/BNB,441.15,73018.22,82283.71,2487035.0,0.12,High,859.0,Recently,DYDX,BNB
Binance,ICP/BNB,441.15,64179.3,75753.93,2263235.0,0.11,High,550.0,Recently,ICP,BNB
Binance,XLM/BNB,441.15,30741.65,71686.37,2230465.0,0.11,High,675.0,Recently,XLM,BNB
Binance,MATIC/BNB,441.15,158368.3,220732.03,2107930.0,0.11,High,646.0,Recently,MATIC,BNB
Binance,LTC/BNB,441.63,90522.4,176033.85,2025866.0,0.1,High,821.0,Recently,LTC,BNB
Binance,CHZ/BNB,441.15,105097.34,91619.16,1913948.0,0.1,High,550.0,Recently,CHZ,BNB
Binance,CHR/BNB,441.15,22484.9,109515.44,1895716.0,0.09,High,668.0,Recently,CHR,BNB
Binance.US,BNB/BUSD,441.48,81873.56,200574.14,1880530.0,0.09,High,799.0,Recently,BNB,BUSD
Binance,BNB/AUD,442.37,174086.1,93957.81,1789089.0,0.09,High,899.0,Recently,BNB,AUD
Binance,ATOM/BNB,441.15,57853.62,91723.92,1763371.0,0.09,High,810.0,Recently,ATOM,BNB
KuCoin,BNB/BTC,440.76,148401.28,171756.38,1751211.0,0.09,High,267.0,Recently,BNB,BTC
Binance,TRX/BNB,441.15,125364.02,217832.23,1737604.0,0.09,High,578.0,Recently,TRX,BNB
Binance,AR/BNB,441.15,18554.88,47020.23,1725376.0,0.09,High,910.0,Recently,AR,BNB
Binance,AVAX/BNB,441.15,68815.18,82957.65,1670962.0,0.08,High,856.0,Recently,AVAX,BNB
Binance,COS/BNB,441.15,9610.1,23006.26,1615015.0,0.08,High,850.0,Recently,COS,BNB
Binance,WIN/BNB,441.15,48494.25,89756.7,1564691.0,0.08,High,944.0,Recently,WIN,BNB
Binance,BNB/GBP,435.0,193302.61,67580.84,1492098.0,0.07,High,734.0,Recently,BNB,GBP
Binance,COTI/BNB,441.15,15892.3,37124.23,1473875.0,0.07,High,733.0,Recently,COTI,BNB
Binance,BCH/BNB,441.45,70213.55,65177.6,1458019.0,0.07,High,722.0,Recently,BCH,BNB
Binance,ONE/BNB,441.15,56101.28,109570.91,1457909.0,0.07,High,813.0,Recently,ONE,BNB
Binance,BNB/BIDR,441.95,176825.21,44418.51,1454307.0,0.07,High,771.0,Recently,BNB,BIDR
Binance,THETA/BNB,441.15,69417.02,65348.2,1304374.0,0.07,High,602.0,Recently,THETA,BNB
Binance,WABI/BNB,441.63,38457.37,27583.53,1253536.0,0.06,High,648.0,Recently,WABI,BNB
Binance,SPARTA/BNB,441.15,10970.61,17652.18,1209066.0,0.06,High,520.0,Recently,SPARTA,BNB
Binance,PROM/BNB,441.15,20426.27,24304.3,1119669.0,0.06,High,676.0,Recently,PROM,BNB
